id,name,team_id,team_name
23995,369,375,Top Esports
20879,Kanavi,375,TopEsports
20333,Creme,375,Top Esports
24065,JackeyLove,375,Top Esports
21006,Crisp,52822,WeiboGaming TapTap
23782,TheShy,47472,Invictus Gaming
23694,JieJie,47509,SHANGHAI EDWARD GAMING HYCAN
26680,Rookie,52905,Shenzhen NINJAS IN PYJAMAS
24551,GALA,47472,Invictus Gaming
22910,Meiko,47472,Invictus Gaming
21335,Kiin,47558,Gen.G Esports
21233,Canyon,47558,Gen.G Esports
22132,Duro,47558,Gen.G Esports
22958,Chovy,47558,Gen.G Esports
22090,Ruler,47558,Gen.G Esports
23425,Kingen,52747,NONGSHIM RED FORCE
25485,ON,52747,NONGSHIM RED FORCE
20972,Lehends,52747,NONGSHIM RED FORCE
21083,Calix,52747,NONGSHIM RED FORCE
20095,Jiwoo,52747,NONGSHIM RED FORCE
24460,DuDu,3483,KWANGDONG FREECS
24669,Cuzz,407,KT Rolster
20269,BuLLDoG,3483,KWANGDONG FREECS
19896,Bull,52817,OKSavingsBank BRION
20733,Andil,3483,KWANGDONG FREECS
21425,Rascal,47961,DRX
25156,Sponge,47961,DRX
25576,SeTab,47961,DRX
24229,Teddy,47961,DRX
27571,Pleata,47961,DRX
20473,Irrelevant,353,SK Gaming
26519,ISMA,353,SK Gaming
24079,Nisqy,353,SK Gaming
20366,Exakick,353,SK Gaming
23181,Doss,353,SK Gaming
23079,Oscarinin,47376,Fnatic
27244,Razork,47376,Fnatic
25375,Humanoid,47376,Fnatic
21819,Noah,53168,GIANTX
21880,Jun,53168,GIANTX
20038,Lucid,48179,Dplus KIA
26409,ShowMaker,48179,Dplus KIA
27490,BeryL,48179,Dplus KIA
28994,Siwoo,48179,Dplus KIA
27218,Aiming,48179,Dplus KIA
20576,Pyosik,3483,DN FREECS
24292,Berserker,47351,Cloud9
21663,Life,3483,DN FREECS
24528,fNb,52573,RED Kalunga
20165,DOOM,52573,RED Kalunga
122673,Mago,52573,RED Kalunga
27557,Brance,52573,RED Kalunga
29597,frostyy,52573,RED Kalunga
22797,Wizer,3389,Pain Gaming
23038,CarioK,3389,Pain Gaming
22195,Roamer,3389,Pain Gaming
25075,TitaN,3389,Pain Gaming
23553,Kuri,3389,Pain Gaming
23109,Josedeodo,54284,Isurus Estral
20362,Mireu,48173,Vivo Keyd Stars
26315,Summit,54284,Isurus Estral
20131,Ackerman,54284,Isurus Estral
21513,Snaker,54284,Isurus Estral
20237,Guigs,48070,Fluxo W7M
22779,Ganks ,48070,Fluxo W7M
29543,Marvin,48070,Fluxo W7M
22633,Fuuu,48070,Fluxo W7M
25339,Hidan,48070,Fluxo W7M
23325,Morgan,52817,OKSavingsBank BRION
25097,YoungJae,52817,OKSavingsBank BRION
19923,FATE,52817,OKSavingsBank BRION
28723,Samver,52817,OKSavingsBank BRION
22026,Pollu,52817,OKSavingsBank BRION
20624,Frog,47961,DRX
24557,kyeahoo,47961,DRX
24612,Zika,52726,Suzhou LNG Ninebot Esports
22228,Weiwei,52726,Suzhou LNG Ninebot Esports
35444,LGDhaichao,368,LGD Gaming
26619,Photic,52905,Shenzhen NINJAS IN PYJAMAS
27261,Zhuo,52905,Shenzhen NINJAS IN PYJAMAS
20391,Sasi,368,Hangzhou LGD Gaming
122442,climber,368,Hangzhou LGD Gaming
22472,xqw,368,Hangzhou LGD Gaming
35446,LGDShaoye,368,Hangzhou LGD Gaming
122443,Ycx,368,Hangzhou LGD Gaming
21139,Zdz,47509,SHANGHAI EDWARD GAMING HYCAN
26154,Xiaohao,47922,Rare Atom
23828,Angel,369,Oh My God
23697,Assum,47514,FunPlus Phoenix
22376,Winkk,52796,Beijing JDG Intel Esports
24854,Bin,356,Bilibili Gaming
22073,Wei,356,BILIBILI GAMING DREAMSMART
21575,knight,356,Bilibili Gaming
25091,Elk,356,Bilibili Gaming
24316,Breathe,52822,WeiboGaming Faw Audi
24459,Tian,52822,WeiboGaming Faw Audi
25639,Xiaohu,52822,WeiboGaming Faw Audi
24435,Light,52822,WeiboGaming Faw Audi
29435,Erha,52822,WeiboGaming Faw Audi
26893,Rahel,353,SK Gaming
66459,Luon,353,SK Gaming
23036,Cube,52910,Xi'an Team WE
27436,Monki,52910,Xi'an Team WE
26510,Karis,52910,Xi'an Team WE
21573,Taeyoon,52910,Xi'an Team WE
29437,Vampire,52910,Xi'an Team WE
23716,Hang,52726,Suzhou LNG Ninebot Esports
21603,Mihile,52747,NongShim REDFORCE
20024,Sylvie,52747,NongShim REDFORCE
25466,Fisher,52747,NONGSHIM RED FORCE
27181,vital,52747,NONGSHIM RED FORCE
24653,Peyz,52796,Beijing JDG Intel Esports
24955,Kellin,48179,Dplus KIA
23969,Bwipo,340,FlyQuest
20697,Inspired,340,FlyQuest
24908,Quad,340,FlyQuest
26927,Massu,340,FlyQuest
23604,Busio,340,FlyQuest
26791,Impact,47363,Team Liquid Honda
24421,UmTi,47363,Team Liquid Honda
23510,APA,47363,Team Liquid Honda
21655,Yeon,47363,Team Liquid Honda
24153,CoreJJ,47363,Team Liquid Honda
29446,sheer,47514,FunPlus Phoenix
26243,shad0w,356,BILIBILI GAMING DREAMSMART
20141,Care,47514,FunPlus Phoenix
22421,Jwei,47514,FunPlus Phoenix
23701,Licorice,54198,LYON
23719,Oddielan,54198,LYON
26878,Saint,54198,LYON
23365,Hena,54198,LYON
26096,Lyonz,54198,LYON
23652,Castle,52572,Immortals Progressive
24581,eXyu,47499,Dignitas
22461,Abbedagge,353,SK Gaming
21485,ScaryJerry,52416,Disguised
19964,huhi,52541,NRG Kia
21022,Srtty,47499,Dignitas
23783,Quid,47497,100 Thieves
20579,FBI,52541,NRG Kia
22660,River,47497,100 Thieves
